No,JSON項目名,項目名,諸元（テーブル・項目）,加工内容,区分,備考
11,konbini_barcode_context.payment_slip_issuing_counter,払込書発行回数,cashflow_tg_payments_accountpaymentmessage（comms_message.template_code で絞り込み）,過去の払込書メッセージ件数を出力。初回は「0」,加工あり,件数の対象は旧テンプレートの払込書メッセージのみで、本JSONの払込書は別テンプレートのため件数に含まれません。10回以上になる場合は生成エラー
12,konbini_barcode_context.revenue_stamp_affixation_flag,収入印紙貼付フラグ,payments_accountpayment.amount,"金額が50,000円以上の場合は「1」、50,000円未満の場合は「0」",加工あり,"しきい値50,000円はコード内固定値"
13,billing_address_context.postal_code,支払人_郵便番号,cashflow_tg_payments_addressee.postal_code（払込書の支払人情報）,そのまま出力,テーブル直結,払込書は常に払込書指示の支払人情報を参照します。口座の請求先住所（accounts_account.billing_postcode 等）は一切使用しません
14,billing_address_context.address_code,支払人_住所コード,cashflow_tg_payments_addressee.address_code,左ゼロ埋めで11桁に補正,加工あり,
15,billing_address_context.street_number_1,支払人_丁目,cashflow_tg_payments_addressee.chome,そのまま出力,テーブル直結,同じ値は郵送先_住所2にもハイフン連結された形で入ります
16,billing_address_context.street_number_2,支払人_番地,cashflow_tg_payments_addressee.banchi,そのまま出力,テーブル直結,
17,billing_address_context.street_number_3,支払人_号,cashflow_tg_payments_addressee.go,そのまま出力,テーブル直結,
18,billing_address_context.street_number_4,支払人_枝番,cashflow_tg_payments_addressee.edaban,そのまま出力,テーブル直結,
19,billing_address_context.building_number,支払人_建物番号,cashflow_tg_payments_addressee.building_number,そのまま出力,テーブル直結,
20,billing_address_context.room_number,支払人_部屋番号,cashflow_tg_payments_addressee.room_number,そのまま出力,テーブル直結,
21,billing_address_context.billing_customer_name_kanji,支払人_お客さま名（漢字）,cashflow_tg_payments_addressee.kanji_family_name／kanji_given_name（いずれも未設定時は kana_family_name／kana_given_name）。払込書再発行時に氏名を指定した場合はその値,姓と名を半角スペースで連結。全角変換および敬称の付与なし,参照切替あり,全角変換を行わない唯一のお客さま名項目です。敬称付きの氏名は customer_name_including_honorific 側に入ります
22,billing_address_context.billing_customer_name_kanji_1_corporate_type,法人名＋支払人_お客さま名,cashflow_tg_payments_addressee.kanji_company_name ＋ 同 kanji_family_name／kanji_given_name,法人名と氏名を半角スペースで連結したうえで全角変換,加工あり,法人名が未設定の場合も区切りのスペースが残るため、先頭が全角スペースになります
23,billing_address_context.customer_name_including_honorific,支払人_お客さま名（敬称付き）,cashflow_tg_payments_addressee.kanji_family_name／kanji_given_name ＋ コード内定数（敬称「様」）,姓名を連結し、末尾に全角スペースと「様」を無条件で付与したうえで全角変換,加工あり,払込書は敬称「様」を必ず付与します。封書検針票（BILLINGSTATEMENT）の郵送先_お客さま名は敬称を付与しないため、同一のお客さまに送る2帳票で敬称の扱いが異なります
24,billing_address_context.form_issue_company_code,社用コード,accounts_account.number ＋ コード内定数（エリアコード部・帳票コード部）,999A0-（accounts_account.number）-KRA003 の形式で連結,加工あり,前後の 999A0 と KRA003 はコード内固定値です。封書検針票は 999B0 と kraken1002 で、払込書とは別の値になります
25,billing_address_context.mailing_add_billing_address_line_1,郵送先_住所1（市区町村）,cashflow_tg_payments_addressee.locality,前後の空白を除去して出力。未設定時は半角スペース1文字,加工あり,封書検針票と異なり、6行分割も全角変換も行いません。桁あふれを避けるため生値で連携し、整形はTG様HUB側の想定です（コード内に注記あり）
26,billing_address_context.mailing_add_billing_address_line_2,郵送先_住所2（町名番地）,cashflow_tg_payments_addressee.chome／banchi／go／edaban,丁目・番地・号・枝番のうち値のあるものをハイフンで連結,加工あり,
27,billing_address_context.mailing_add_billing_address_line_3,郵送先_住所3（建物名）,cashflow_tg_payments_addressee.kanji_building_name,前後の空白を除去して出力。未設定時は空文字,テーブル直結,
28,billing_address_context.mailing_add_billing_address_line_4,郵送先_住所4（建物番号・部屋番号）,cashflow_tg_payments_addressee.building_number／room_number,建物番号と部屋番号を半角スペースで連結,加工あり,
29,billing_address_context.mailing_add_billing_address_line_5,郵送先_住所5,DBに諸元なし（コード内定義）,常に半角スペース1文字を出力,固定値,値を設定しない項目です。郵送先住所は住所1〜4のみに入ります
30,billing_address_context.mailing_add_customer_barcode,郵送先_カスタマバーコード,cashflow_tg_payments_addressee.postal_code ＋ 同 chome／banchi／go／edaban,郵便番号のハイフンを除去し、町名番地から数字とハイフンのみを抽出して連結。20桁まで「$」で埋めてチェックデジットを付加し、前後を「<」「>」で囲む,加工あり,住所の漢字・英字は除去されるため、バーコードに反映されるのは数字部分のみです
31,billing_address_context.mailing_add_production_control_number,郵送先_製造管理番号,DBに諸元なし（コード内定義）,000001-（払込書作成日YYYYMMDD）KRNP05A001-000001# の形式で連結,加工あり,連番部は常に000001です。TSV形式の帳票のようなファイル内連番の差し替えは行われません
32,billing_address_context.physical_location_identifier,支払人_名称2,cashflow_tg_payments_addressee.physical_location_identifier,そのまま出力。未設定時は半角スペース1文字,テーブル直結,
33,supply_point_address_context.supply_point_address_locality,使用者_市区町村,addresses_address.locality（供給地点の物件住所 rich_address）,そのまま出力。未設定時は半角スペース1文字,テーブル直結,封書検針票の使用者住所と異なり、6行分割も全角変換も行いません
34,supply_point_address_context.supply_point_address_street,使用者_町名番地,addresses_address の構造化住所（丁目・番地・号・枝番）,丁目・番地・号・枝番のうち値のあるものをハイフンで連結,加工あり,
35,supply_point_address_context.supply_point_address_building_name,使用者_建物名,addresses_address の構造化住所（建物名（漢字））,そのまま出力。未設定時は半角スペース1文字,テーブル直結,
36,supply_point_address_context.supply_point_address_building_number_and_room_number,使用者_建物番号・部屋番号,addresses_address の構造化住所（建物番号・部屋番号）,建物番号と部屋番号を半角スペースで連結,加工あり,
37,supply_point_address_context.user_customer_name_kanji_1,使用者_お客さま名,法人は accounts_account.billing_name／個人は主契約者の AccountUserDetails.kanji_name（未設定時は kana_name）,そのまま出力。全角変換および敬称の付与なし,参照切替あり,封書検針票の使用者_お客さま名は全角変換されますが、本項目は変換されません
38,supply_point_address_context.user_customer_name_kanji_2,使用者_名称2,addresses_address の構造化住所（physical_location_identifier）,そのまま出力。未設定時は半角スペース1文字,テーブル直結,支払人側の名称2とは別の項目で、供給地点の住所から取得します
39,detail_reminder_context.details_contact,連絡先欄,DBに諸元なし（コード内定義）。手数料猶予の案内文のみ猶予終了日を billing_accountcharge と検針スケジュールから判定,政府支援（METI）の表示期間内はその定型文、それ以外は払込書発行手数料の猶予案内文を3列分連結。いずれも該当しない場合は半角スペース,区分値変換,文言はすべてコード内定義のため、変更にはコード改修が必要です。カード払い・口座振替の再請求の場合は先頭に行き違いのお断り文が入り、他の文言が1列ずつ後ろにずれます
40,detail_reminder_context.details_reminder_message_title_text_kanji,お知らせ_表題,DBに諸元なし（コード内定義）,固定値「ガス料金等払込書送付のご案内」,固定値,再請求の場合も同じ表題を出力します
41,detail_reminder_context.details_reminder_message_top,お知らせ_上段,DBに諸元なし（コード内定義）,カード払い・口座振替の再請求の場合のみ定型文4行を連結。それ以外は半角スペース4文字,区分値変換,通常の請求では本文が入らず、半角スペースのみになります
42,detail_reminder_context.details_reminder_message_below,お知らせ_下段,DBに諸元なし（コード内定義）,カード払い・口座振替の再請求の場合のみ定型文6行を連結。それ以外は半角スペース6文字,区分値変換,通常の請求では本文が入らず、半角スペースのみになります
43,bill_context.billing_amount,請求金額,payments_accountpayment.amount,そのまま整数で出力,テーブル直結,支払（payments_accountpayment）の金額です。ステートメントのご請求金額合計を再計算した値ではないため、支払の修正があった場合は一致しません
44,bill_context.charge_occurrence_date,料金発生年月日,billing_accountcharge の明細行の期間終了日（ガス・電気）／エネルギー料金がない場合は billing_accountcharge.posting_date の最新,期間終了日を現地時間で1日前に戻してYYYY-MM-DD形式で出力。電気のみの場合はさらに1日加算,参照切替あり,電気のみのお客さまはガスがある場合より1日後の日付になります。コンビニ払込用バーコードとOCR行2にも同じ日付が使われます
45,bill_context.meter_reading_date,検針日,market_jpn_gas_gasreading.reading_date（ガス優先）／ガスがない場合は market_jpn_electricity_electricityintervalreading.end_at,YYYY/MM/DD形式に変換。現時点ではUTC基準で出力するため検針日の前日となります,加工あり,内訳明細の年月日（breakdown_items_context[].date）は現地時間に変換されるため、本項目とは1日ずれます。当社側の不具合の可能性があるため確認中で、本項目の出力値は変更となる可能性があります。影響確認の際は内訳明細側の年月日をご参照ください。エネルギー料金がない請求では空文字となります
46,bill_context.issue_date,発行日,DBに諸元なし（コード内定義）,払込書作成日をYYYY-MM-DD形式で出力,加工あり,作成時のシステム日付です。ステートメントの確定日ではないため、再発行すると日付が変わります
47,bill_context.payment_due_date,支払期限,tokyogas_late_payment_interest_billpaymentrecord.bill_due_date,YYYY-MM-DD形式で出力,テーブル直結,再請求の場合は最初の支払に紐づく期限を参照します。バーコード内の支払期限（固定値999999）とは別の項目です
48,bill_context.customer_notification_number_str,お客さま番号,ガス契約ありの場合は market_jpn_gas_gassupplypoint.spin の下11桁／電気のみの場合はTG様から連携されたお客さま番号（外部アカウント情報の CUSTOMER_REGISTRATION_NUMBER、なければ主契約者の同番号）,4桁目と7桁目の後にハイフンを挿入（1234-567-8901 形式）,参照切替あり,
49,bill_context.gas_meter_company_number,ガスメーター社番（下3桁）,market_jpn_gas_gassupplypoint.physical_meter_number,メーター社番の下3桁のみを出力。電気のみの場合は空文字,加工あり,ガス料金が複数ある場合は最後に処理された料金のメーターを使用します。ガス契約があるのに供給地点が特定できない場合は生成エラーになります
50,breakdown_items_context[].breakdown_item_display,ご請求内訳,エネルギー料金は market_supply_product.code の表示名対応表／それ以外は billing_accountcharge.reason・billing_accountcredit.reason に対応するコード内の理由定義の表示名,ガスは「ガス料金」＋契約種別、電気は「電気料金」＋契約種別。延滞利息は理由名に対象請求の年月日を付加。11行を超える場合は11行目の名称に「等」を付加,区分値変換,商品名はコード内の対応表を参照するため、DB上の商品名を変更しても払込書の表示は変わりません。取消明細は「Reversed charge (…)」と英語で出力されます
51,breakdown_items_context[].gross_amount,内訳_請求金額,billing_accountcharge.gross_amount／billing_accountcredit.gross_amount,そのまま整数で出力。クレジットと取消は符号を反転してマイナス表示。付帯料金は理由ごとに合算。11行を超える場合は11行目に超過分を合算,加工あり,
52,breakdown_items_context[].sales_tax_amount,内訳_消費税額,billing_accountcharge.sales_tax_amount／billing_accountcredit.sales_tax_amount（未設定時は0）,そのまま整数で出力。延滞利息は常に0,加工あり,クレジットは請求金額のみ符号を反転し、消費税額は正の値のまま出力されます。合算行のみ符号を考慮して加減算します
53,breakdown_items_context[].date,内訳_年月日,エネルギー料金は検針日（market_jpn_gas_gasreading.reading_date／market_jpn_electricity_electricityintervalreading.end_at）、それ以外は billing_accountcharge.posting_date・billing_accountcredit.posting_date,MM/DD形式で出力（機能フラグ有効時はYYYY/MM/DD）。合算行は空文字,参照切替あり,電気は期間終了日の翌日が検針日となるため、内訳_使用期間の終了日より1日後の日付になります。bill_context.meter_reading_date とも1日ずれます
54,breakdown_items_context[].usage,内訳_ご使用量,billing_accountcharge の従量料金明細行の使用量（燃料費調整分を除く）,明細の合計を整数に切り捨てて出力。エネルギー料金以外は空文字,加工あり,小数は四捨五入せず切り捨てます
55,breakdown_items_context[].usage_units,内訳_使用量単位,DBに諸元なし（コード内定義）,ガスは固定値「m3」、電気は固定値「ｋＷｈ」。エネルギー料金以外は空文字,固定値,ガスは半角「m3」、電気は全角「ｋＷｈ」で、2つの単位の文字幅が揃っていません
56,breakdown_items_context[].period,内訳_使用期間,billing_accountcharge の明細行の期間,MM/DD～MM/DD形式で出力。終了日は期間終了日を1日前に戻した末日。エネルギー料金以外は空文字,加工あり,
57,breakdown_items_context[].notice,内訳_お知らせ,ガスは market_jpn_gas_gasreading.reading_date、電気は market_jpn_electricity_electricityintervalreading.billable_at,検針票発行手数料の明細のみ検針日をMM/DD形式で出力。それ以外は空文字,加工あり,TG様HUB側でこの日付を使った追加編集を行うため、形式の変更には事前確認が必要です（コード内に注記あり）。電気は billable_at を参照するため、同じ明細の内訳_年月日と一致しない場合があります
58,breakdown_items_context[].meter_reading_date,内訳_検針日（延滞利息）,延滞利息の対象となった請求の検針日（issuance_billingdocument 経由で突合）,延滞利息の明細のみYYYY/MM/DD形式で出力。それ以外は空文字,加工あり,延滞利息の計算日ではなく、元になった電気・ガス料金の検針日です。突合できない場合は空文字となり、内訳名称にも年月日が入りません
59,breakdown_items_context[].contracted_capacity,内訳_契約容量,market_jpn_electricity_electricitysupplypoint および供給契約詳細,契約容量と単位を連結した表示文字列（例：40A）を出力,加工あり,電気料金の明細行にのみ存在するキーです。ガスやその他の明細行には出力されず、機能フラグが無効の場合は電気の明細行でもキー自体が出力されません
