json_path,ja_label,source,transformation,kind,evidence
konbini_barcode_context.payment_slip_issuing_counter,払込書発行回数,Count of cashflow_tg_payments_accountpaymentmessage rows for the payment whose comms_message.template_code is the legacy 'KONBINI-PAYMENT-SCHEDULED' and which are not errored,str(count). Values outside 0-9 raise CouldNotGenerateBarcode.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:600,622,816; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:115-137; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/payments.py:79-82,88,115"
konbini_barcode_context.revenue_stamp_affixation_flag,収入印紙貼付フラグ,payments_accountpayment.amount compared against the hardcoded 50000 threshold,'1' when amount >= 50000 else '0'.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:817; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/payments.py:87,91,117"
billing_address_context.postal_code,支払人_郵便番号,"cashflow_tg_payments_addressee.postal_code, reached from payments_paymentinstruction.reference via cashflow_tg_payments_paymentslippaymentinstruction.payer","Passthrough, hyphen retained.",table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:674-676,722; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:289-310,330-349; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/models.py:19-60,146-160"
billing_address_context.address_code,支払人_住所コード,cashflow_tg_payments_addressee.address_code,zfill(11).,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:723; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:330-349
billing_address_context.street_number_1,支払人_丁目,cashflow_tg_payments_addressee.chome,Passthrough.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:724; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:341
billing_address_context.street_number_2,支払人_番地,cashflow_tg_payments_addressee.banchi,Passthrough.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:725; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:342
billing_address_context.street_number_3,支払人_号,cashflow_tg_payments_addressee.go,Passthrough.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:726; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:343
billing_address_context.street_number_4,支払人_枝番,cashflow_tg_payments_addressee.edaban,Passthrough.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:727; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:344
billing_address_context.building_number,支払人_建物番号,cashflow_tg_payments_addressee.building_number,Passthrough.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:728; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:347
billing_address_context.room_number,支払人_部屋番号,cashflow_tg_payments_addressee.room_number,Passthrough.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:729; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:348
billing_address_context.billing_customer_name_kanji,支払人_お客さま名（漢字）,cashflow_tg_payments_addressee.kanji_family_name and kanji_given_name; falls back to kana_family_name and kana_given_name when both kanji fields are empty; overridden by the payer name supplied on a payment slip re-issue,"family_name + ' ' + given_name. Half-width space. No to_full_width, no honorific.",chain,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:699-704,734; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:416-433"
billing_address_context.billing_customer_name_kanji_1_corporate_type,法人名＋支払人_お客さま名,cashflow_tg_payments_addressee.kanji_company_name plus the same name chain as billing_customer_name_kanji,to_full_width(company_name + ' ' + family_name + ' ' + given_name).,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:706-710,735"
billing_address_context.customer_name_including_honorific,支払人_お客さま名（敬称付き）,Same name chain as billing_customer_name_kanji plus the hardcoded honorific constants.NAME_HONORIFIC = '　様' (ideographic space + 様),"to_full_width(family_name + ' ' + given_name + '　様'). Unconditional: there is no flag and no length check on this branch, unlike utils.strings.conditionally_include_name_suffix used elsewhere.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:704,712-714,736; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/constants.py:33"
billing_address_context.form_issue_company_code,社用コード,accounts_account.number plus constants '999A0' and KRAKEN_STANDARD_PAYMENT_SLIP_COMM_CODE = 'KRA003',f'999A0-{account.number}-KRA003'.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:90,737"
billing_address_context.mailing_add_billing_address_line_1,郵送先_住所1（市区町村）,cashflow_tg_payments_addressee.locality,locality.strip(); codes.UNSPECIFIED (' ') when empty. Deliberately not converted to full width: the code notes the length could be exceeded and TG Hub handles it.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:690-697,738; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/files/codes.py:36"
billing_address_context.mailing_add_billing_address_line_2,郵送先_住所2（町名番地）,"cashflow_tg_payments_addressee.chome, banchi, go, edaban","get_street_address joins the populated components with '-', then .strip().",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:692-696,739; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:169-192; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:224-240"
billing_address_context.mailing_add_billing_address_line_3,郵送先_住所3（建物名）,cashflow_tg_payments_addressee.kanji_building_name,Taken as-is then .strip(); empty when unset.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:740; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:175
billing_address_context.mailing_add_billing_address_line_4,郵送先_住所4（建物番号・部屋番号）,cashflow_tg_payments_addressee.building_number and room_number,"get_building_and_room_number joins the populated components with ' ', then .strip().",derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:741; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:169-192; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:243-257
billing_address_context.mailing_add_billing_address_line_5,郵送先_住所5,No database source (codes.UNSPECIFIED),Always the constant ' ' (single half-width space).,constant,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:742; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/files/codes.py:36
billing_address_context.mailing_add_customer_barcode,郵送先_カスタマバーコード,cashflow_tg_payments_addressee.postal_code plus the street string built from chome/banchi/go/edaban,"Postcode hyphens removed, street reduced to digits, hyphens and '$' only, right-padded with '$' to 20 chars, check digit appended, wrapped in '<' and '>'.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:716-719,743; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:209-221,260-275"
billing_address_context.mailing_add_production_control_number,郵送先_製造管理番号,Hardcoded parts plus the generation date (localtime.today()),f'000001-{today:%Y%m%d}KRNP05A001-000001#'. The sequence-number substitution used for TSV Shinsuna files is not applied here.,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:744; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/_shared_context.py:48-66; src/octoenergy/plugins/clients/tokyogas/print_partner/data.py:299-307
billing_address_context.physical_location_identifier,支払人_名称2,cashflow_tg_payments_addressee.physical_location_identifier,Passthrough; codes.UNSPECIFIED (' ') when null or empty.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:745-746; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/queries.py:330-349
supply_point_address_context.supply_point_address_locality,使用者_市区町村,addresses_address.locality on the supply point property rich_address,Passthrough; codes.UNSPECIFIED (' ') when empty.,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:756-777
supply_point_address_context.supply_point_address_street,使用者_町名番地,"addresses_address structured street address (chome, banchi, go, edaban) on the supply point property",get_street_address joins the populated components with '-'; not converted to full width.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:764-768,779; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:169-192; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:224-240"
supply_point_address_context.supply_point_address_building_name,使用者_建物名,addresses_address structured street address kanji_building_name,"Taken as-is (default ' ' when the key is absent); not stripped, not converted to full width.",table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:764-768,779; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:175"
supply_point_address_context.supply_point_address_building_number_and_room_number,使用者_建物番号・部屋番号,addresses_address structured street address building_number and room_number,get_building_and_room_number joins the populated components with ' '.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:764-768,780; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/addresses.py:243-257"
supply_point_address_context.user_customer_name_kanji_1,使用者_お客さま名,Business accounts: accounts_account.billing_name via get_billing_name. Domestic: primary jpn AccountUserDetails.kanji_name else kana_name. Fallback on error: accounts get_addressee_name.,"Interpolated straight into an f-string. No to_full_width and no honorific, unlike the billing statement postal customer name.",chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:781; src/octoenergy/plugins/territories/jpn/comms/message_types/email/billing_statement/utils.py:16-32
supply_point_address_context.user_customer_name_kanji_2,使用者_名称2,addresses_address structured street address physical_location_identifier on the supply point property,Passthrough; codes.UNSPECIFIED (' ') when the key is absent.,table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:770-773,782; src/octoenergy/plugins/clients/tokyogas/payments/cashflow/vendors/tg_payments/files/codes.py:36"
detail_reminder_context.details_contact,連絡先欄,"Hardcoded Japanese templates: the METI subsidy message inside its display window, otherwise the payment slip printing fee grace period notice (grace end date derived from billing_accountcharge and the supply point reading schedule). codes.UNSPECIFIED (' ') when neither applies.",Three columns concatenated with no separator. On a re-presentation of a card or direct debit payment an apology line becomes column 1 and the other columns shift down one.,enum,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:633-641,823-834; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:195-273,436-518; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/context.py:314-319; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_constants.py:3-9"
detail_reminder_context.details_reminder_message_title_text_kanji,お知らせ_表題,Hardcoded Japanese string (no database origin),Constant 'ガス料金等払込書送付のご案内' on every branch.,constant,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:831; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:224,243,260"
detail_reminder_context.details_reminder_message_top,お知らせ_上段,Hardcoded Japanese templates (no database origin),Four columns concatenated. Populated only when the payment is a re-presentation of a card or direct debit payment; otherwise four codes.UNSPECIFIED spaces.,enum,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:826,832; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:225-228,244-247,261-264"
detail_reminder_context.details_reminder_message_below,お知らせ_下段,Hardcoded Japanese templates (no database origin),Six columns concatenated. Populated only when the payment is a re-presentation of a card or direct debit payment; otherwise six codes.UNSPECIFIED spaces.,enum,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:827,833; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:229-234,248-253,265-270"
bill_context.billing_amount,請求金額,payments_accountpayment.amount,"Emitted as an integer, no rounding.",table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:603; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_payment_slip.py:69
bill_context.charge_occurrence_date,料金発生年月日,"Line items period end of the gas and electricity billing_accountcharge rows on the statement; when there are no energy charges, the latest billing_accountcharge.posting_date among ancillary charges",localtime.date_of_day_before(period.end); plus one further day when there is an electricity charge and no gas charge. str(date) gives YYYY-MM-DD.,chain,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:152-186,604; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/_shared_context.py:15-45"
bill_context.meter_reading_date,検針日,"market_jpn_gas_gasreading.reading_date when a gas supply point and reading exist, otherwise market_jpn_electricity_electricityintervalreading.end_at","BUG (item 22): reading_date_utc returns a UTC datetime (gas: JST midnight of the reading date converted to UTC; elec: end_at). strftime('%Y/%m/%d') is then applied to that UTC datetime with no conversion back to JST, so the emitted date is the day before the 検針日. Confirmed by the test snapshots: bill_context.meter_reading_date '2024/09/11' against a gas breakdown date of '09/12', and '2024/09/12' against an elec breakdown date of '09/13'. Empty string when the statement has no energy charges.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:175-177,185,605; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:370-413; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/readings.py:238-264; src/tests/integration/clients/tokyogas/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/__snapshots__/test_tg_stamp_context.ambr:13,41,445,473"
bill_context.issue_date,発行日,localtime.today() at context generation time (no database origin),str(date) gives YYYY-MM-DD.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:113,606"
bill_context.payment_due_date,支払期限,"tokyogas_late_payment_interest_billpaymentrecord.bill_due_date, reconciled from the payment via the schedule trigger event and issuance_issuedbillingdocument",str(date) gives YYYY-MM-DD.,table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:598-599,607; src/octoenergy/plugins/clients/tokyogas/late_payment_interest/queries.py:101-133; src/octoenergy/plugins/clients/tokyogas/late_payment_interest/models.py:18-31"
bill_context.customer_notification_number_str,お客さま番号,"Dual fuel: market_jpn_gas_gassupplypoint.spin last 11 digits. Elec-only: TG external account details CUSTOMER_REGISTRATION_NUMBER reference, else the primary account user's registration number.",format_customer_registration_number inserts hyphens after positions 4 and 7 (1234-567-8901).,chain,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:117,608; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/queries.py:19-62; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/formatters.py:353-359; src/octoenergy/plugins/clients/tokyogas/accounts/queries/_get_customer_registration_number_from_account.py:16-57"
bill_context.gas_meter_company_number,ガスメーター社番（下3桁）,"market_jpn_gas_gassupplypoint.physical_meter_number of the gas supply point behind the gas charge; for a dual fuel statement with no gas charge, the active or ending gas supply point at statement.finalized_at","physical_meter_number[-3:]; empty string when there is no meter number, and empty for elec-only customers.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:266,284-288,307-312,609,894-914"
breakdown_items_context[].breakdown_item_display,ご請求内訳,"Energy lines: 'ガス料金'/'電気料金' plus PRODUCT_NAME_ALIASES lookup on market_supply_product.code (gas may append the addon band). Other lines: the display of the matching TOKYOGAS charge or credit reason registry entry, falling back to billing_accountcharge.display_note. Reversals: an English 'Reversed charge (...)' string.","Late payment interest appends ' （YYYY年MM月DD日分請求）' when the source reading date can be reconciled, else falls back to AccountCharge.display. When more than BREAKDOWN_ITEM_COUNT=11 items exist, item 11 takes the 11th display plus '等'.",enum,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:88,290-293,343-346,356,375,415-423,462,478,516,534-535,550-590,878-891; src/octoenergy/plugins/clients/tokyogas/comms/queries.py:110-156"
breakdown_items_context[].gross_amount,内訳_請求金額,billing_accountcharge.gross_amount or billing_accountcredit.gross_amount,"Integer, no rounding. Credits and reversals are negated to signal a credit to TG. Ancillary items are summed per reason. Item 11 carries the sum of all overflow items.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:294,357,428,463,479,521,540,564-580,861-868,936-947"
breakdown_items_context[].sales_tax_amount,内訳_消費税額,billing_accountcharge.sales_tax_amount or billing_accountcredit.sales_tax_amount (0 when null),"Integer. Not negated for credits, unlike gross_amount. Late payment interest is hardcoded to 0. In the overflow aggregate the sign is applied based on whether each item's gross_amount is negative.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:295,358,429,464,480,522,541,565-574,869,941-948"
breakdown_items_context[].date,内訳_年月日,Energy lines: the 検針日 from market_jpn_gas_gasreading.reading_date or market_jpn_electricity_electricityintervalreading.end_at. Other lines: billing_accountcharge.posting_date or billing_accountcredit.posting_date.,"localtime.date(reading_date_utc(reading)) then strftime('%m/%d'), or '%Y/%m/%d' when feature flag PS_JSON_USE_YEAR_IN_BREAKDOWN_ITEM_DATE is on. Empty string on the overflow aggregate row.",chain,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:105-108,296,363,382,430,465,481,523,542,584,870; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/readings.py:238-264"
breakdown_items_context[].usage,内訳_ご使用量,"number_of_units on the consumption line items of the energy billing_accountcharge, excluding fuel cost adjustment lines","Decimal sum then int() truncation, cast to str. Empty string for non-energy lines.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:297,365,383,431,654-667; src/octoenergy/plugins/territories/jpn/comms/message_types/email/billing_statement/base/common.py:204-207"
breakdown_items_context[].usage_units,内訳_使用量単位,"Hardcoded: literal 'm3' for gas, constants.KWH_CONSUMPTION_UNIT for electricity",Constant 'm3' or 'ｋＷｈ'. Empty string for non-energy lines.,constant,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:298,366,384,432; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/constants.py:25"
breakdown_items_context[].period,内訳_使用期間,Line items period of the energy billing_accountcharge,"f'{start:%m/%d}～{end:%m/%d}' where start is localtime midnight of period.start and end is localtime midnight of period.end minus one day, because the line item period is exclusive of its end. Empty string for non-energy lines.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:299,367,385,433,837-854"
breakdown_items_context[].notice,内訳_お知らせ,"Meter reading slip printing fee line only: the reading date resolved at the top of generate(), which is market_jpn_gas_gasreading.reading_date for gas or market_jpn_electricity_electricityintervalreading.billable_at for electricity","strftime('%m/%d'). Empty string on every other line. The code carries an explicit instruction not to change this format without HUB's agreement, because HUB does further formatting off it.",derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:156-169,469-471; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_shared_context.py:291-367"
breakdown_items_context[].meter_reading_date,内訳_検針日（延滞利息）,"Late payment interest lines only: the reading date of the original electricity or gas charge that produced the fee, reconciled through issuance_billingdocument",strftime('%Y/%m/%d'). Empty string when the source cannot be reconciled and on every other line type (attrs default '').,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/dataclasses.py:90-92; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:400-417,435; src/octoenergy/plugins/clients/tokyogas/debt_prevention/late_payment_fees/queries.py:346-358"
breakdown_items_context[].contracted_capacity,内訳_契約容量,market_jpn_electricity_electricitysupplypoint and the supply details active at the line items period start,Display string such as '40A'. Only present on ElectricityBreakdownItem: when feature flag PS_JSON_INCLUDE_CONTRACTED_CAPACITY_FOR_ELEC_BREAKDOWN_ITEMS is off the plain BreakdownItem class is used and the key is absent from the JSON object entirely (not null).,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/dataclasses.py:95-98; src/octoenergy/plugins/clients/tokyogas/comms/message_types/payments/payment_slip/_tg_stamp_context.py:322,348-370; src/octoenergy/plugins/clients/tokyogas/comms/queries.py:415-436"
