json_path,ja_label,source,transformation,kind,evidence
gas_consumption_contexts[].consumption_amount,"ご使用量：1,701m3",GasReading.usage (from market_jpn_gas_gasreading / DTO); if meter-replacement/shutoff sequence: readings_sequence.total_usage,Decimal then _format_decimal: integer if integral else normalize. May aggregate across reading sequence when FF GAS_METER_REPLACEMENT_AND_SHUTOFF_NOTICE on.,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:773-827,886; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:21-22,47"
gas_consumption_contexts[].last_month_consumption_amount,"前月使用量適宜：1,701m3",market_jpn_gas_gasreading.consumption_cubic_meters for regular reading in previous calendar month covering period; None if recharge or no reading,_format_decimal or null. Looked up via _get_last_gas_reading_date_from_months_ago(months_ago=1).,chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:841-856; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:48-52
gas_consumption_contexts[].last_year_consumption_amount,"前年同月使用量：1,701m3",market_jpn_gas_gasreading.consumption_cubic_meters for same month 12 months ago; None if recharge or missing,_format_decimal or null; months_ago=12,chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:858-869; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:53-57
gas_consumption_contexts[].old_meter_usage_amount,旧メーター使用量,Derived from GasReading.meter_value_on_removal - previous_meter_value when meter_replacement_flag=='1',int or null; no decimal format,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/readings.py:221-235; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:889
gas_consumption_contexts[].meter_value_on_installation,取付指示数,GasReading.meter_value_on_installation (market_jpn_gas_gasreading / DTO),int or null; passthrough,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:890; src/octoenergy/plugins/territories/jpn/meter_readings/gas/domain/dtos/_readings.py:17
gas_consumption_contexts[].meter_replacement_flag,,Derived from readings_sequence.has_meter_replacement when FF on; else False,bool; False when FF GAS_METER_REPLACEMENT_AND_SHUTOFF_NOTICE off,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:802,836"
gas_consumption_contexts[].gas_shutoff_flag,,Derived: gas_suspension_days>0 or has_supply_state_change_reading; else False if FF off,bool True for any shutoff (dunning OR safety),derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:799-801; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/_dataclasses.py:47-48
gas_consumption_contexts[].dunning_shutoff_flag,,Derived: gas_shutoff_flag AND any SUPPLY_SUSPENSION reading is dunning suspension,bool,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:807-816
gas_consumption_contexts[].safety_shutoff_flag,,Derived: gas_shutoff_flag and not dunning_shutoff_flag,bool,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:817
gas_consumption_contexts[].charge_taxed_rate,0.1 for 10% tax rate,Tax item from AccountCharge via tg_comms_tax.get_tax_item(charge).rate,_format_decimal of tax rate (e.g. 0.1),derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:878,895; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:64"
gas_consumption_contexts[].reading_value,"今回指示数：107,733",GasReading.current_meter_value (or 0),_format_decimal(Decimal(...)),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:898; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:65
gas_consumption_contexts[].previous_reading_value,"前回指示数：106,032",GasReading.previous_meter_value (or 0),_format_decimal(Decimal(...)),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:899; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:66
gas_consumption_contexts[].reading_date,検針日：11月 1日,GasReading.reading_date via reading_date_utc then localtime.midnight,ISO 8601 UTC millis Z,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:900; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/readings.py:238-256; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:67
gas_consumption_contexts[].reading_start,10月 1日,GasReading.start_at or readings_sequence.period.start when aggregated,ISO 8601 UTC millis Z,table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:774-827,901; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:68"
gas_consumption_contexts[].reading_end,11月 1日,GasReading.end_at or readings_sequence.period.end when aggregated,ISO 8601 UTC millis Z,table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:775-827,902; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:69"
gas_consumption_contexts[].standing_charge_amount,"基本料金：23,436.66円",Gas charge line item standing charge gross_amount (from AccountCharge line items),_format_decimal_two_decimals: always 2 dp (f'{d:.2f}'),table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:907; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:29-30,70-72"
gas_consumption_contexts[].consumption_charge_amount,"従量料金：120,124.62円",Gas consumption line item gross_amount,_format_decimal_two_decimals,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:908; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:73-75
gas_consumption_contexts[].set_discount_amount,セット割引額等,Sum of GasConsumptionContext.discounts[].gross_amount (property),_format_decimal of sum,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/_dataclasses.py:252-254; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:76
gas_consumption_contexts[].discounts[].name,ずっともパック割引額,DiscountCodeToNameMap lookup from discount line item supply_type/code,Enum/map of discount code to Japanese display name,enum,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/_dataclasses.py:112-120; src/octoenergy/plugins/clients/tokyogas/comms/message_types/common/constants.py:109-149; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:78-79
gas_consumption_contexts[].discounts[].gross_amount,-151円,Discount line item gross_amount on AccountCharge,_format_decimal,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/_dataclasses.py:120; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:79
gas_consumption_contexts[].total_charge_amount,"請求金額：142,000円",billing.AccountCharge.gross_amount (billing_accountcharge),_format_decimal_no_decimals: quantize to int ROUND_DOWN,table,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:917; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:25-26,83-85"
gas_consumption_contexts[].is_recharge,,True if this charge id is in recharges list from charge_queries.get_recharges,bool,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:841,905"
gas_rate_context.gas_supply_type,A / B ...,From latest gas consumption_charge_supply_type (parsed from consumption line item supply_type via get_gas_rate_name),Copied from latest GasConsumptionContext; None if no gas,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:957-968,910-912"
gas_rate_context.gas_standing_charge,基本料金,Same as latest gas standing_charge_amount,_format_decimal_two_decimals,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:965; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:94-96
gas_rate_context.gas_consumption_charge_rate,単位料金,Latest gas consumption_charge_gross_price_per_unit,_format_decimal_two_decimals,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:966; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:97-99
gas_rate_context.gas_consumption_charge_unit,単位料金単位 (円／㎥),Hardcoded shinsuna_forms.PER_CUBIC_METER,Constant '/㎥',constant,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:967; src/octoenergy/plugins/clients/tokyogas/print_partner/shinsuna_forms/_constants.py:94
next_month_gas_rate_context.gas_rate_a.tier_name,Tier A rate,market_supply.ProductRate.band mapped via get_gas_rate_name for next month rates of product {{product_code}},Tier letter A-F from band; null entire object if no gas or final reading,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:971-992,1038-1069"
next_month_gas_rate_context.gas_rate_a.tier_start,,ProductRate.params['tier']['start'] (+1 when start!=0 for inclusive display),Inclusive start: 0 stays 0; else start+1,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1057-1061
next_month_gas_rate_context.gas_rate_a.tier_end,,ProductRate.params['tier'].get('end'),int or null (open-ended tier),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1062
next_month_gas_rate_context.gas_rate_a.gross_price,,ProductRate.params['gross_price_per_unit'] + FuelCostAdjustment.params['gross_price_per_unit'] for next month,Sum then round_decimal_places(LINE_ITEM_DECIMAL_PLACES); _format_decimal for JSON,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1045-1050; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:323
next_month_gas_rate_context.gas_rate_b.tier_name,Tier B rate,market_supply.ProductRate.band mapped via get_gas_rate_name for next month rates of product {{product_code}},Tier letter A-F from band; null entire object if no gas or final reading,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:971-992,1038-1069"
next_month_gas_rate_context.gas_rate_b.tier_start,,ProductRate.params['tier']['start'] (+1 when start!=0 for inclusive display),Inclusive start: 0 stays 0; else start+1,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1057-1061
next_month_gas_rate_context.gas_rate_b.tier_end,,ProductRate.params['tier'].get('end'),int or null (open-ended tier),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1062
next_month_gas_rate_context.gas_rate_b.gross_price,,ProductRate.params['gross_price_per_unit'] + FuelCostAdjustment.params['gross_price_per_unit'] for next month,Sum then round_decimal_places(LINE_ITEM_DECIMAL_PLACES); _format_decimal for JSON,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1045-1050; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:323
next_month_gas_rate_context.gas_rate_c.tier_name,Tier C rate,market_supply.ProductRate.band mapped via get_gas_rate_name for next month rates of product {{product_code}},Tier letter A-F from band; null entire object if no gas or final reading,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:971-992,1038-1069"
next_month_gas_rate_context.gas_rate_c.tier_start,,ProductRate.params['tier']['start'] (+1 when start!=0 for inclusive display),Inclusive start: 0 stays 0; else start+1,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1057-1061
next_month_gas_rate_context.gas_rate_c.tier_end,,ProductRate.params['tier'].get('end'),int or null (open-ended tier),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1062
next_month_gas_rate_context.gas_rate_c.gross_price,,ProductRate.params['gross_price_per_unit'] + FuelCostAdjustment.params['gross_price_per_unit'] for next month,Sum then round_decimal_places(LINE_ITEM_DECIMAL_PLACES); _format_decimal for JSON,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1045-1050; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:323
next_month_gas_rate_context.gas_rate_d.tier_name,Tier D rate,market_supply.ProductRate.band mapped via get_gas_rate_name for next month rates of product {{product_code}},Tier letter A-F from band; null entire object if no gas or final reading,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:971-992,1038-1069"
next_month_gas_rate_context.gas_rate_d.tier_start,,ProductRate.params['tier']['start'] (+1 when start!=0 for inclusive display),Inclusive start: 0 stays 0; else start+1,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1057-1061
next_month_gas_rate_context.gas_rate_d.tier_end,,ProductRate.params['tier'].get('end'),int or null (open-ended tier),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1062
next_month_gas_rate_context.gas_rate_d.gross_price,,ProductRate.params['gross_price_per_unit'] + FuelCostAdjustment.params['gross_price_per_unit'] for next month,Sum then round_decimal_places(LINE_ITEM_DECIMAL_PLACES); _format_decimal for JSON,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1045-1050; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:323
next_month_gas_rate_context.gas_rate_e.tier_name,Tier E rate,market_supply.ProductRate.band mapped via get_gas_rate_name for next month rates of product {{product_code}},Tier letter A-F from band; null entire object if no gas or final reading,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:971-992,1038-1069"
next_month_gas_rate_context.gas_rate_e.tier_start,,ProductRate.params['tier']['start'] (+1 when start!=0 for inclusive display),Inclusive start: 0 stays 0; else start+1,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1057-1061
next_month_gas_rate_context.gas_rate_e.tier_end,,ProductRate.params['tier'].get('end'),int or null (open-ended tier),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1062
next_month_gas_rate_context.gas_rate_e.gross_price,,ProductRate.params['gross_price_per_unit'] + FuelCostAdjustment.params['gross_price_per_unit'] for next month,Sum then round_decimal_places(LINE_ITEM_DECIMAL_PLACES); _format_decimal for JSON,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1045-1050; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:323
next_month_gas_rate_context.gas_rate_f.tier_name,Tier F rate,market_supply.ProductRate.band mapped via get_gas_rate_name for next month rates of product {{product_code}},Tier letter A-F from band; null entire object if no gas or final reading,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:971-992,1038-1069"
next_month_gas_rate_context.gas_rate_f.tier_start,,ProductRate.params['tier']['start'] (+1 when start!=0 for inclusive display),Inclusive start: 0 stays 0; else start+1,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1057-1061
next_month_gas_rate_context.gas_rate_f.tier_end,,ProductRate.params['tier'].get('end'),int or null (open-ended tier),table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1062
next_month_gas_rate_context.gas_rate_f.gross_price,,ProductRate.params['gross_price_per_unit'] + FuelCostAdjustment.params['gross_price_per_unit'] for next month,Sum then round_decimal_places(LINE_ITEM_DECIMAL_PLACES); _format_decimal for JSON,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1045-1050; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:323
gas_reversing_credit_contexts[].gross_amount,,billing.AccountCredit.gross_amount for reversing gas credit (billing_accountcredit),_format_decimal_no_decimals ROUND_DOWN,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:949-950; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:241
gas_reversing_credit_contexts[].reading_date,,Reversed charge line_items_period.end at localtime.midnight,ISO 8601 UTC millis Z,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:951; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:242
gas_reversing_credit_contexts[].reading_start,,Reversed charge line_items_period.start,ISO 8601 UTC millis Z,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:952; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:243
gas_reversing_credit_contexts[].reading_end,,Reversed charge line_items_period.end,ISO 8601 UTC millis Z,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:953; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:244
electricity_consumption_contexts[].spin_str,供給地点特定番号:0300111001301606071571,jpn_elec.ElectricitySupplyPoint.spin (market_jpn_electricity_electricitysupplypoint),Raw unhyphenated spin,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1196; src/octoenergy/plugins/territories/jpn/industry/electricity/data/models/_supply_points.py:34
electricity_consumption_contexts[].contracted_capacity,40A,Standing charge line item contracted_capacity_value+unit (FF) else get_contracted_capacity_display_for_supply_point from ElectricitySupplyPoint/ElectricitySupplyDetails,Display string e.g. '40A' or 'kVA'/'kW' forms,chain,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1131-1144,1197"
electricity_consumption_contexts[].product_name,契約種別：電１,PRODUCT_NAME_ALIASES[agreement.product.code],Alias lookup; raises if missing,enum,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1129,1198; src/octoenergy/plugins/clients/tokyogas/comms/queries.py:110-122"
electricity_consumption_contexts[].consumption_amount,ご使用量：415ｋＷｈ,ElectricityIntervalReading.value (market_jpn_electricity_electricityintervalreading),_format_decimal,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1199; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:115
electricity_consumption_contexts[].last_month_consumption_amount,前月使用量適宜：415ｋＷｈ,Prior month ElectricityIntervalReading.value; None if recharge/missing,_format_decimal or null,chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1155-1167; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:116-120
electricity_consumption_contexts[].last_year_consumption_amount,同月使用量：415ｋＷｈ,12-months-ago ElectricityIntervalReading.value; None if recharge/missing,_format_decimal or null,chain,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1169-1177; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:121-125
electricity_consumption_contexts[].charge_taxed_rate,0.1 for 10% tax rate,tg_comms_tax.get_tax_item(charge).rate,_format_decimal,derived,"src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1188,1202; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:126"
electricity_consumption_contexts[].reading_date,検針日：11月 1日,ElectricityIntervalReading via reading_date_utc,ISO 8601 UTC millis Z,derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1205; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:127
electricity_consumption_contexts[].reading_start,10月 1日,ElectricityIntervalReading.start_at,ISO 8601 UTC millis Z,table,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1206; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:128
electricity_consumption_contexts[].reading_end,11月 1日,ElectricityIntervalReading.end_at minus 1 day (inclusive display),ISO 8601 UTC millis Z of (end_at - 1 day),derived,src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/context.py:1208-1209; src/octoenergy/plugins/clients/tokyogas/comms/message_types/billing_statement/printer/process.py:129
